dzien srednia odchylenie
1 10.0 0.0
2 2.642857142857143 1.7368026705655182
3 3.2857142857142856 1.1387288073563857
4 3.857142857142857 1.747840111378914
5 5.285714285714286 2.7853620515548347
6 5.785714285714286 2.9659236835601988
7 5.928571428571429 3.7919811285291063
8 8.571428571428571 3.776736191970027
9 11.0 3.4641016151377544
10 11.642857142857142 4.499694739340964
11 11.714285714285714 5.4268360441927355
12 13.928571428571429 5.210408011696555
13 13.428571428571429 4.467218816673743
14 14.571428571428571 5.154748157905347
15 17.285714285714285 5.060078616424414
16 18.5 8.846989927044723
17 22.071428571428573 8.507591955372618
18 26.857142857142858 9.574462369779813
19 27.428571428571427 9.92831448793946
20 30.357142857142858 11.035656495456639
21 35.0 10.855696838349616
22 40.5 10.00576756752747
23 42.5 16.533183415366622
24 47.142857142857146 14.981307033752442
25 49.785714285714285 19.59661890550185
26 55.857142857142854 21.386038374664846
27 64.35714285714286 21.546397674489643
28 68.85714285714286 22.16323061308507
29 77.78571428571429 21.22110187608468
30 77.78571428571429 25.573960829865065
31 88.71428571428571 25.23864122707502
32 97.14285714285714 28.667475923495182
33 107.42857142857143 32.759530112423974
34 113.0 30.839535065835918
35 114.71428571428571 29.031623530818337
36 131.92857142857142 35.142488607019644
37 134.0 30.280737720918836
38 143.14285714285714 32.26061457485354
39 153.35714285714286 32.66992769848406
40 158.21428571428572 32.45394031174399
41 164.42857142857142 28.34597864767603
42 170.92857142857142 21.463616032411995
43 178.92857142857142 30.38588813581393
44 179.85714285714286 27.284419738003596
45 189.5 18.9280012354509
46 184.57142857142858 21.12495529613581
47 184.71428571428572 20.70833563652967
48 186.14285714285714 17.064840790607782
49 188.28571428571428 20.29561745579789
50 184.0 20.677003204972948
51 187.71428571428572 21.850641854429576
52 174.0 23.251137275741687
53 169.0 23.78105257423358
54 162.78571428571428 21.455422737274713
55 160.28571428571428 27.102167303141506
56 153.42857142857142 25.242559560924345
57 145.64285714285714 31.660718546822324
58 139.78571428571428 32.434972984842645
59 136.78571428571428 29.9542691741635
60 125.64285714285714 29.216979106880096
61 115.28571428571429 30.10092912296785
62 105.0 28.22982601652155
63 99.14285714285714 31.13211832190015
64 94.78571428571429 33.26392957828361
65 89.92857142857143 27.802778736926737
66 85.64285714285714 25.566225144355357
67 73.0 29.711432661001567
68 67.57142857142857 20.148350899168992
69 62.214285714285715 24.608249309244535
70 55.785714285714285 21.487665769454352
71 49.42857142857143 16.2892805040818
72 47.57142857142857 16.491089835303306
73 43.5 14.79474958843898
74 35.57142857142857 12.780479620916399
75 37.42857142857143 13.426233137545925
76 30.214285714285715 13.868495406321655
77 26.928571428571427 12.486696217077693
78 26.642857142857142 11.506567642051165
79 24.214285714285715 8.603921927090722
80 22.357142857142858 10.096512290863634
81 17.714285714285715 8.434622525214577
82 19.928571428571427 9.351793622404418
83 15.071428571428571 7.78029350557979
84 15.0 6.164414002968976
85 12.285714285714286 5.398412465054624
86 9.428571428571429 5.154748157905347
87 8.642857142857142 4.430786401065632
88 6.714285714285714 5.525167194526563
89 6.714285714285714 4.214052889824919
90 6.214285714285714 3.3553303500909943
91 5.071428571428571 2.730575755412026
92 4.428571428571429 3.3675895445643813
93 4.5 3.156190498296714
94 4.357142857142857 3.521519402345939
95 4.571428571428571 2.10180456217566
96 3.5 2.62385506166316
97 2.2857142857142856 2.1277858274442303
98 2.857142857142857 1.9944979263017493
99 2.9285714285714284 1.9792883614022536
100 1.5714285714285714 1.8277470669267508
